x,y,label
38.5,67.5,False
33.5,55.5,False
28.5,39.5,False
23.5,23.5,False
18.5,7.5,False
13.5,-8.5,False
15.0,-15.0,True
3.5,-15.5,False
-1.5,-0.5,False
-6.5,17.5,False
-11.5,35.5,False
-16.5,50.5,False
-21.5,59.5,False
-26.5,59.5,False
-31.5,47.5,False
-36.5,31.5,False
-41.5,15.5,False
-46.5,-0.5,False
-45.0,-7.0,True
-56.5,-7.5,False
-61.5,7.5,False
-66.5,25.5,False
-71.5,43.5,False
-76.5,58.5,False
-81.5,67.5,False
418.5,306.5,False
413.5,294.5,False
408.5,278.5,False
403.5,262.5,False
398.5,246.5,False
393.5,230.5,False
395.0,224.0,True
383.5,223.5,False
378.5,238.5,False
373.5,256.5,False
368.5,274.5,False
363.5,289.5,False
358.5,298.5,False
353.5,298.5,False
348.5,286.5,False
343.5,270.5,False
338.5,254.5,False
333.5,238.5,False
328.5,222.5,False
326.0,210.5,False
325.0,200.0,False
320.0,184.0,True
308.5,183.5,False
303.5,198.5,False
298.5,216.5,False
293.5,234.5,False
288.5,249.5,False
283.5,258.5,False
278.5,258.5,False
273.5,246.5,False
268.5,230.5,False
263.5,214.5,False
258.5,198.5,False
253.5,182.5,False
251.0,170.5,False
250.0,160.0,False
241.0,138.5,False
233.5,118.5,False
228.5,100.5,False
225.5,84.5,False
224.5,71.0,False
225.0,59.0,False
220.0,43.0,False
215.0,27.0,False
205.0,16.0,True
193.5,15.5,False
188.5,30.5,False
183.5,48.5,False
178.5,66.5,False
173.5,81.5,False
168.5,90.5,False
163.5,90.5,False
158.5,78.5,False
153.5,62.5,False
148.5,46.5,False
143.5,30.5,False
138.5,14.5,False
136.0,2.5,False
135.0,-8.0,True
123.5,-8.5,False
118.5,6.5,False
113.5,24.5,False
108.5,42.5,False
103.5,57.5,False
98.5,66.5,False
93.5,66.5,False
88.5,54.5,False
83.5,38.5,False
78.5,22.5,False
73.5,6.5,False
68.5,-9.5,False
66.0,-21.5,False
65.0,-32.0,True
53.5,-32.5,False
48.5,-17.5,False
43.5,0.5,False
38.5,18.5,False
33.5,33.5,False
28.5,42.5,False
23.5,42.5,False
18.5,30.5,False
13.5,14.5,False
8.5,-1.5,False
3.5,-17.5,False
-1.5,-33.5,False
0.0,-40.0,True
-11.5,-40.5,False
-16.5,-25.5,False
-21.5,-7.5,False
-26.5,10.5,False
-31.5,25.5,False
-36.5,34.5,False
-41.5,34.5,False
-46.5,22.5,False
-51.5,6.5,False
-56.5,-9.5,False
-55.0,-16.0,True
-66.5,-16.5,False
-71.5,-1.5,False
-76.5,16.5,False
-81.5,34.5,False
418.5,31.5,False
413.5,40.5,False
408.5,40.5,False
403.5,28.5,False
398.5,12.5,False
393.5,-3.5,False
395.0,-10.0,True
383.5,-10.5,False
378.5,4.5,False
373.5,22.5,False
368.5,40.5,False
363.5,55.5,False
358.5,64.5,False
353.5,64.5,False
348.5,52.5,False
343.5,36.5,False
338.5,20.5,False
340.0,14.0,True
328.5,13.5,False
323.5,28.5,False
318.5,46.5,False
313.5,64.5,False
308.5,79.5,False
303.5,88.5,False
298.5,88.5,False
293.5,76.5,False
288.5,60.5,False
283.5,44.5,False
278.5,28.5,False
280.0,22.0,True
268.5,21.5,False
263.5,36.5,False
258.5,54.5,False
253.5,72.5,False
248.5,87.5,False
243.5,96.5,False
238.5,96.5,False
233.5,84.5,False
228.5,68.5,False
223.5,52.5,False
218.5,36.5,False
213.5,20.5,False
